Name,Date,Absolute Category Rating - Fileset: Chopin x1,Absolute Category Rating - Fileset: Chopin x1,Absolute Category Rating - Fileset: Chopin x1,Absolute Category Rating - Fileset: Chopin x1,Absolute Category Rating - Fileset: Chopin x1,Absolute Category Rating - Fileset: Chopin x1,Absolute Category Rating - Fileset: Chopin x1,Absolute Category Rating - Fileset: Chopin x1,Absolute Category Rating - Fileset: Chopin x1,Degradation Category Rating - Fileset: Chopin_zestaw_bez_HR,Degradation Category Rating - Fileset: Chopin_zestaw_bez_HR,Degradation Category Rating - Fileset: Chopin_zestaw_bez_HR,Degradation Category Rating - Fileset: Chopin_zestaw_bez_HR,Degradation Category Rating - Fileset: Chopin_zestaw_bez_HR,Degradation Category Rating - Fileset: Chopin_zestaw_bez_HR,Degradation Category Rating - Fileset: Chopin_zestaw_bez_HR,Degradation Category Rating - Fileset: Chopin_zestaw_bez_HR,Degradation Category Rating - Fileset: Chopin_zestaw_bez_HR,MUSHRA - Fileset: Chopin MUSHRA 3,MUSHRA - Fileset: Chopin MUSHRA 3,MUSHRA - Fileset: Chopin MUSHRA 3,MUSHRA - Fileset: Chopin MUSHRA 3,MUSHRA - Fileset: Chopin MUSHRA 3,MUSHRA - Fileset: Chopin MUSHRA 3,MUSHRA - Fileset: Chopin MUSHRA 3,MUSHRA - Fileset: Chopin MUSHRA 3,MUSHRA - Fileset: Chopin MUSHRA 3,Comparison Category Rating - Fileset: Chopin_zestaw_bez_HR,Comparison Category Rating - Fileset: Chopin_zestaw_bez_HR,Comparison Category Rating - Fileset: Chopin_zestaw_bez_HR,Comparison Category Rating - Fileset: Chopin_zestaw_bez_HR,Comparison Category Rating - Fileset: Chopin_zestaw_bez_HR,Comparison Category Rating - Fileset: Chopin_zestaw_bez_HR,Comparison Category Rating - Fileset: Chopin_zestaw_bez_HR,Comparison Category Rating - Fileset: Chopin_zestaw_bez_HR,Comparison Category Rating - Fileset: Chopin_zestaw_bez_HR
Andrzej Tomala,"07/07/2022, 13:44:06",4.0,1.0,2.0,2.0,1.0,3.0,2.0,3.0,1.0,4.0,2.0,3.0,2.0,5.0,5.0,5.0,1.0,5.0,37.0,94.0,57.0,96.0,2.0,17.0,9.0,49.0,63.0,2.0,3.0,-3.0,-1.0,2.0,0.0,-3.0,-1.0,1.0
Andrzej Tomala,"07/07/2022, 13:44:06",1.0,2.0,2.0,5.0,4.0,4.0,3.0,2.0,2.0,3.0,2.0,5.0,2.0,2.0,5.0,2.0,3.0,3.0,25.0,38.0,27.0,34.0,77.0,52.0,46.0,88.0,60.0,-2.0,-1.0,3.0,0.0,0.0,1.0,2.0,1.0,-2.0
Andrzej Tomala,"07/07/2022, 13:44:06",5.0,1.0,1.0,2.0,2.0,3.0,3.0,1.0,3.0,3.0,5.0,3.0,3.0,5.0,1.0,4.0,4.0,2.0,43.0,42.0,90.0,75.0,52.0,23.0,62.0,77.0,100.0,0.0,0.0,-2.0,1.0,-2.0,-2.0,3.0,2.0,-3.0
Andrzej Tomala,"07/07/2022, 13:44:06",5.0,2.0,4.0,3.0,2.0,2.0,1.0,5.0,2.0,2.0,1.0,4.0,5.0,1.0,3.0,5.0,1.0,1.0,4.0,1.0,19.0,72.0,60.0,19.0,89.0,79.0,35.0,-2.0,3.0,-1.0,0.0,-3.0,0.0,-2.0,-2.0,0.0
Andrzej Tomala,"07/07/2022, 13:44:06",3.0,4.0,2.0,2.0,3.0,2.0,5.0,3.0,3.0,5.0,1.0,1.0,2.0,4.0,4.0,1.0,5.0,2.0,96.0,82.0,27.0,52.0,53.0,27.0,76.0,80.0,49.0,0.0,-1.0,1.0,0.0,-3.0,1.0,3.0,1.0,2.0
Andrzej Tomala,"07/07/2022, 13:44:06",4.0,4.0,5.0,2.0,2.0,5.0,3.0,3.0,2.0,5.0,1.0,1.0,1.0,1.0,1.0,4.0,3.0,1.0,66.0,30.0,14.0,34.0,18.0,72.0,45.0,33.0,85.0,0.0,-3.0,-3.0,-1.0,-2.0,-1.0,2.0,2.0,3.0
Andrzej Tomala,"07/07/2022, 13:44:06",3.0,3.0,5.0,4.0,3.0,4.0,5.0,4.0,4.0,2.0,4.0,5.0,1.0,1.0,3.0,5.0,4.0,2.0,2.0,61.0,1.0,20.0,31.0,92.0,2.0,6.0,83.0,2.0,3.0,-1.0,-3.0,-3.0,0.0,-3.0,-2.0,-2.0
Andrzej Tomala,"07/07/2022, 13:44:06",3.0,3.0,3.0,1.0,2.0,3.0,4.0,4.0,5.0,5.0,2.0,3.0,2.0,4.0,4.0,5.0,4.0,3.0,81.0,12.0,46.0,9.0,52.0,36.0,25.0,27.0,87.0,2.0,-2.0,3.0,1.0,2.0,3.0,-2.0,0.0,0.0
Andrzej Tomala,"07/07/2022, 13:44:06",1.0,2.0,2.0,3.0,3.0,1.0,2.0,5.0,5.0,2.0,4.0,1.0,4.0,5.0,2.0,2.0,3.0,3.0,71.0,73.0,58.0,13.0,79.0,22.0,24.0,63.0,2.0,2.0,1.0,-1.0,-2.0,2.0,-2.0,-3.0,0.0,-1.0
Andrzej Tomala,"07/07/2022, 13:44:06",5.0,5.0,4.0,2.0,1.0,2.0,1.0,5.0,2.0,1.0,4.0,2.0,3.0,1.0,4.0,1.0,5.0,3.0,91.0,72.0,95.0,98.0,55.0,27.0,7.0,85.0,19.0,2.0,-3.0,0.0,1.0,2.0,2.0,1.0,-2.0,3.0
Andrzej Tomala,"07/07/2022, 13:44:06",2.0,5.0,4.0,2.0,5.0,2.0,5.0,4.0,1.0,5.0,4.0,2.0,3.0,3.0,4.0,5.0,4.0,2.0,85.0,26.0,68.0,22.0,66.0,27.0,87.0,52.0,30.0,-2.0,-3.0,0.0,0.0,-1.0,-3.0,2.0,3.0,-3.0
Andrzej Tomala,"07/07/2022, 13:44:06",2.0,1.0,3.0,4.0,3.0,2.0,2.0,1.0,2.0,4.0,3.0,2.0,5.0,3.0,2.0,1.0,1.0,4.0,23.0,32.0,43.0,79.0,18.0,7.0,26.0,99.0,41.0,-3.0,-2.0,-3.0,1.0,0.0,2.0,3.0,-1.0,2.0
Andrzej Tomala,"07/07/2022, 13:44:06",5.0,5.0,2.0,5.0,5.0,5.0,4.0,4.0,4.0,1.0,4.0,4.0,4.0,3.0,1.0,4.0,3.0,5.0,29.0,81.0,37.0,68.0,50.0,99.0,98.0,54.0,95.0,1.0,-2.0,-1.0,1.0,3.0,2.0,-3.0,-2.0,2.0
Andrzej Tomala,"07/07/2022, 13:44:06",1.0,1.0,3.0,3.0,4.0,5.0,1.0,1.0,4.0,5.0,2.0,3.0,2.0,1.0,2.0,3.0,2.0,2.0,65.0,83.0,16.0,58.0,28.0,30.0,5.0,10.0,29.0,-1.0,1.0,-3.0,-2.0,0.0,-2.0,-1.0,-3.0,-1.0
Andrzej Tomala,"07/07/2022, 13:44:06",1.0,1.0,4.0,1.0,4.0,2.0,4.0,4.0,3.0,2.0,2.0,1.0,5.0,4.0,4.0,5.0,4.0,1.0,56.0,98.0,71.0,68.0,88.0,89.0,20.0,57.0,7.0,2.0,-2.0,0.0,-1.0,-3.0,2.0,1.0,-1.0,-3.0
Andrzej Tomala,"07/07/2022, 13:44:06",4.0,5.0,1.0,3.0,5.0,5.0,3.0,1.0,4.0,1.0,2.0,1.0,2.0,1.0,5.0,3.0,4.0,3.0,85.0,77.0,5.0,55.0,79.0,100.0,79.0,62.0,23.0,2.0,2.0,3.0,2.0,-3.0,0.0,-2.0,2.0,0.0
Andrzej Tomala,"07/07/2022, 13:44:06",3.0,1.0,5.0,1.0,3.0,4.0,3.0,3.0,5.0,4.0,3.0,3.0,3.0,2.0,3.0,4.0,3.0,1.0,93.0,40.0,66.0,19.0,6.0,85.0,80.0,77.0,95.0,3.0,3.0,1.0,1.0,2.0,3.0,-2.0,-3.0,0.0
Andrzej Tomala,"07/07/2022, 13:44:06",5.0,3.0,1.0,4.0,3.0,3.0,4.0,4.0,1.0,3.0,1.0,4.0,5.0,5.0,1.0,3.0,3.0,1.0,82.0,45.0,6.0,36.0,83.0,59.0,70.0,1.0,91.0,1.0,1.0,0.0,1.0,-1.0,0.0,2.0,3.0,0.0
Andrzej Tomala,"07/07/2022, 13:44:06",5.0,2.0,1.0,2.0,4.0,4.0,2.0,1.0,5.0,5.0,1.0,4.0,3.0,4.0,1.0,1.0,1.0,4.0,83.0,4.0,63.0,37.0,19.0,5.0,93.0,30.0,31.0,2.0,-3.0,0.0,-2.0,-2.0,-2.0,-2.0,3.0,3.0
Andrzej Tomala,"07/07/2022, 13:44:06",3.0,3.0,2.0,5.0,4.0,1.0,4.0,3.0,5.0,5.0,4.0,2.0,5.0,4.0,2.0,1.0,2.0,2.0,79.0,91.0,66.0,10.0,76.0,93.0,32.0,18.0,62.0,3.0,-2.0,-2.0,1.0,-1.0,0.0,1.0,3.0,1.0
Andrzej Tomala,"07/07/2022, 13:44:06",2.0,4.0,2.0,2.0,3.0,1.0,2.0,1.0,1.0,2.0,5.0,3.0,5.0,5.0,2.0,2.0,3.0,3.0,83.0,69.0,36.0,61.0,28.0,94.0,35.0,100.0,48.0,1.0,-2.0,-2.0,1.0,-2.0,-3.0,-1.0,1.0,-2.0
Andrzej Tomala,"07/07/2022, 13:44:06",5.0,3.0,5.0,2.0,4.0,2.0,2.0,5.0,5.0,3.0,1.0,2.0,3.0,2.0,1.0,3.0,5.0,1.0,53.0,63.0,57.0,65.0,88.0,94.0,85.0,79.0,89.0,-1.0,3.0,-2.0,-3.0,-2.0,1.0,3.0,1.0,3.0
Andrzej Tomala,"07/07/2022, 13:44:06",2.0,5.0,1.0,5.0,2.0,3.0,2.0,2.0,2.0,3.0,3.0,5.0,5.0,5.0,1.0,2.0,4.0,2.0,25.0,31.0,90.0,68.0,19.0,53.0,40.0,34.0,89.0,1.0,0.0,0.0,0.0,-2.0,3.0,2.0,-3.0,-2.0
Andrzej Tomala,"07/07/2022, 13:44:06",3.0,4.0,1.0,5.0,1.0,5.0,1.0,5.0,2.0,2.0,1.0,2.0,5.0,4.0,1.0,4.0,4.0,4.0,12.0,44.0,46.0,57.0,41.0,3.0,29.0,84.0,14.0,-1.0,0.0,-1.0,-3.0,-2.0,0.0,3.0,0.0,2.0
Andrzej Tomala,"07/07/2022, 13:44:06",3.0,2.0,1.0,4.0,3.0,1.0,5.0,4.0,1.0,1.0,4.0,4.0,3.0,3.0,5.0,1.0,5.0,3.0,59.0,56.0,90.0,81.0,15.0,40.0,59.0,82.0,41.0,-1.0,-2.0,1.0,0.0,-3.0,0.0,-1.0,-3.0,-3.0
Andrzej Tomala,"07/07/2022, 13:44:06",2.0,3.0,1.0,4.0,3.0,2.0,5.0,2.0,3.0,3.0,1.0,2.0,5.0,2.0,2.0,5.0,2.0,2.0,31.0,80.0,10.0,64.0,10.0,60.0,97.0,72.0,14.0,-3.0,3.0,1.0,0.0,2.0,-2.0,1.0,3.0,-2.0
Andrzej Tomala,"07/07/2022, 13:44:06",5.0,5.0,2.0,4.0,5.0,2.0,4.0,1.0,5.0,1.0,4.0,2.0,2.0,2.0,4.0,1.0,4.0,5.0,79.0,33.0,3.0,37.0,78.0,2.0,83.0,94.0,34.0,1.0,0.0,3.0,3.0,-2.0,1.0,2.0,-1.0,1.0
Andrzej Tomala,"07/07/2022, 13:44:06",2.0,2.0,3.0,2.0,2.0,3.0,2.0,2.0,4.0,1.0,4.0,5.0,2.0,5.0,4.0,1.0,2.0,1.0,5.0,43.0,64.0,89.0,78.0,87.0,54.0,89.0,53.0,1.0,2.0,2.0,0.0,1.0,3.0,1.0,-1.0,-3.0
Andrzej Tomala,"07/07/2022, 13:44:06",4.0,4.0,3.0,3.0,5.0,2.0,3.0,3.0,2.0,5.0,1.0,2.0,4.0,1.0,3.0,3.0,3.0,5.0,32.0,12.0,84.0,57.0,92.0,38.0,58.0,27.0,90.0,3.0,-1.0,3.0,-3.0,-3.0,0.0,-1.0,0.0,3.0
Andrzej Tomala,"07/07/2022, 13:44:06",1.0,5.0,5.0,5.0,3.0,3.0,5.0,4.0,4.0,5.0,5.0,5.0,3.0,5.0,5.0,4.0,5.0,4.0,18.0,87.0,33.0,47.0,3.0,9.0,46.0,43.0,90.0,1.0,-1.0,-1.0,3.0,1.0,0.0,0.0,-2.0,1.0
Andrzej Tomala,"07/07/2022, 13:44:06",1.0,5.0,2.0,5.0,3.0,5.0,4.0,2.0,2.0,5.0,4.0,5.0,1.0,2.0,2.0,2.0,2.0,1.0,68.0,35.0,48.0,90.0,37.0,30.0,10.0,64.0,94.0,1.0,0.0,3.0,-3.0,-1.0,-2.0,-1.0,2.0,-1.0
Andrzej Tomala,"07/07/2022, 13:44:06",4.0,1.0,1.0,4.0,3.0,1.0,5.0,2.0,3.0,5.0,2.0,3.0,1.0,2.0,2.0,2.0,2.0,5.0,58.0,34.0,56.0,66.0,45.0,45.0,12.0,95.0,14.0,0.0,2.0,2.0,1.0,-2.0,0.0,1.0,3.0,-2.0
Andrzej Tomala,"07/07/2022, 13:44:06",2.0,2.0,4.0,4.0,2.0,1.0,4.0,3.0,5.0,1.0,3.0,4.0,3.0,1.0,4.0,1.0,4.0,3.0,11.0,15.0,35.0,15.0,1.0,23.0,21.0,73.0,19.0,-3.0,2.0,-3.0,3.0,0.0,0.0,-1.0,0.0,3.0
Andrzej Tomala,"07/07/2022, 13:44:06",3.0,5.0,4.0,1.0,5.0,2.0,1.0,2.0,4.0,2.0,4.0,3.0,1.0,5.0,1.0,1.0,1.0,3.0,65.0,40.0,67.0,22.0,60.0,38.0,15.0,43.0,98.0,-3.0,-1.0,0.0,-3.0,0.0,-3.0,2.0,-1.0,-1.0
Andrzej Tomala,"07/07/2022, 13:44:06",5.0,2.0,5.0,3.0,5.0,5.0,5.0,3.0,5.0,5.0,4.0,4.0,2.0,3.0,2.0,3.0,5.0,1.0,36.0,71.0,98.0,57.0,48.0,81.0,86.0,39.0,61.0,3.0,0.0,-3.0,-3.0,3.0,-3.0,0.0,3.0,0.0
Andrzej Tomala,"07/07/2022, 13:44:06",4.0,3.0,3.0,4.0,5.0,1.0,5.0,2.0,4.0,2.0,4.0,4.0,1.0,2.0,1.0,5.0,1.0,3.0,47.0,86.0,75.0,69.0,37.0,76.0,37.0,66.0,21.0,2.0,0.0,3.0,0.0,2.0,0.0,1.0,-1.0,3.0
Andrzej Tomala,"07/07/2022, 13:44:06",3.0,3.0,1.0,1.0,4.0,3.0,5.0,5.0,5.0,2.0,4.0,1.0,3.0,5.0,2.0,2.0,3.0,4.0,59.0,98.0,7.0,64.0,27.0,76.0,2.0,38.0,7.0,2.0,-2.0,-2.0,-2.0,3.0,2.0,-3.0,-1.0,-2.0
Andrzej Tomala,"07/07/2022, 13:44:06",4.0,5.0,3.0,2.0,5.0,4.0,3.0,3.0,4.0,2.0,4.0,1.0,1.0,4.0,5.0,1.0,4.0,2.0,67.0,67.0,71.0,50.0,85.0,88.0,97.0,91.0,94.0,1.0,2.0,1.0,0.0,0.0,-1.0,-1.0,2.0,-2.0
Andrzej Tomala,"07/07/2022, 13:44:06",5.0,3.0,5.0,2.0,4.0,4.0,4.0,4.0,5.0,5.0,3.0,1.0,5.0,4.0,1.0,3.0,3.0,1.0,35.0,92.0,74.0,69.0,41.0,52.0,63.0,63.0,21.0,3.0,0.0,-2.0,0.0,-3.0,0.0,-2.0,3.0,-3.0
Andrzej Tomala,"07/07/2022, 13:44:06",1.0,5.0,2.0,1.0,3.0,4.0,3.0,2.0,2.0,1.0,3.0,1.0,1.0,5.0,5.0,4.0,3.0,1.0,44.0,35.0,74.0,64.0,60.0,57.0,84.0,94.0,21.0,1.0,2.0,0.0,1.0,-2.0,0.0,-3.0,-3.0,-2.0
Andrzej Tomala,"07/07/2022, 13:44:06",2.0,3.0,2.0,4.0,3.0,2.0,1.0,3.0,3.0,5.0,2.0,2.0,3.0,4.0,5.0,3.0,2.0,2.0,34.0,26.0,72.0,83.0,92.0,51.0,44.0,97.0,41.0,2.0,1.0,3.0,3.0,-3.0,1.0,2.0,-1.0,1.0
Andrzej Tomala,"07/07/2022, 13:44:06",1.0,5.0,4.0,3.0,5.0,4.0,3.0,1.0,4.0,5.0,2.0,5.0,3.0,4.0,4.0,2.0,1.0,3.0,93.0,67.0,83.0,45.0,27.0,6.0,98.0,32.0,28.0,3.0,2.0,-2.0,1.0,0.0,-1.0,0.0,-2.0,-3.0
Andrzej Tomala,"07/07/2022, 13:44:06",1.0,5.0,2.0,3.0,1.0,4.0,5.0,5.0,4.0,5.0,3.0,3.0,5.0,4.0,4.0,4.0,2.0,5.0,63.0,3.0,91.0,27.0,34.0,81.0,76.0,78.0,80.0,2.0,1.0,0.0,2.0,1.0,0.0,-2.0,-2.0,2.0
Andrzej Tomala,"07/07/2022, 13:44:06",3.0,5.0,2.0,2.0,5.0,5.0,1.0,5.0,4.0,3.0,4.0,4.0,5.0,3.0,5.0,4.0,3.0,3.0,15.0,6.0,71.0,3.0,74.0,86.0,63.0,86.0,67.0,2.0,-3.0,-2.0,3.0,0.0,3.0,-2.0,-1.0,2.0
Andrzej Tomala,"07/07/2022, 13:44:06",5.0,2.0,4.0,1.0,3.0,4.0,3.0,3.0,2.0,3.0,2.0,5.0,1.0,2.0,3.0,5.0,4.0,2.0,94.0,84.0,25.0,66.0,89.0,42.0,56.0,37.0,30.0,2.0,-1.0,3.0,1.0,-3.0,-3.0,2.0,2.0,2.0
Andrzej Tomala,"07/07/2022, 13:44:06",4.0,1.0,5.0,3.0,1.0,2.0,5.0,5.0,2.0,4.0,1.0,5.0,4.0,3.0,4.0,5.0,2.0,4.0,68.0,24.0,24.0,38.0,29.0,51.0,51.0,13.0,70.0,1.0,0.0,1.0,0.0,0.0,3.0,3.0,-2.0,1.0
Andrzej Tomala,"07/07/2022, 13:44:06",3.0,4.0,5.0,4.0,4.0,3.0,5.0,1.0,5.0,2.0,5.0,3.0,1.0,2.0,1.0,3.0,3.0,3.0,46.0,70.0,47.0,48.0,98.0,69.0,81.0,78.0,94.0,2.0,0.0,0.0,-3.0,-1.0,0.0,0.0,1.0,0.0
Andrzej Tomala,"07/07/2022, 13:44:06",1.0,2.0,5.0,5.0,2.0,5.0,4.0,3.0,3.0,5.0,4.0,3.0,3.0,5.0,2.0,4.0,4.0,1.0,29.0,31.0,87.0,7.0,57.0,98.0,14.0,52.0,47.0,2.0,-3.0,0.0,3.0,1.0,3.0,1.0,-3.0,-2.0
Andrzej Tomala,"07/07/2022, 13:44:06",2.0,2.0,1.0,3.0,2.0,4.0,2.0,4.0,3.0,4.0,5.0,4.0,3.0,1.0,2.0,4.0,1.0,1.0,50.0,90.0,70.0,49.0,71.0,36.0,21.0,51.0,35.0,-3.0,2.0,-3.0,3.0,-2.0,-3.0,-1.0,-2.0,-2.0
Andrzej Tomala,"07/07/2022, 13:44:06",5.0,2.0,1.0,2.0,2.0,4.0,4.0,3.0,1.0,3.0,1.0,4.0,2.0,1.0,2.0,3.0,2.0,5.0,96.0,56.0,83.0,35.0,73.0,20.0,21.0,12.0,17.0,3.0,0.0,2.0,1.0,-3.0,-2.0,3.0,2.0,1.0
Andrzej Tomala,"07/07/2022, 13:44:06",5.0,1.0,5.0,3.0,4.0,4.0,1.0,2.0,2.0,4.0,5.0,5.0,4.0,4.0,2.0,2.0,3.0,1.0,8.0,25.0,73.0,71.0,97.0,3.0,74.0,98.0,78.0,-3.0,2.0,-1.0,-2.0,1.0,-3.0,3.0,-1.0,-3.0
Andrzej Tomala,"07/07/2022, 13:44:06",1.0,4.0,2.0,4.0,1.0,3.0,2.0,3.0,2.0,2.0,1.0,4.0,4.0,5.0,3.0,2.0,5.0,3.0,69.0,10.0,23.0,29.0,42.0,48.0,52.0,43.0,59.0,-1.0,-1.0,2.0,3.0,-2.0,0.0,2.0,0.0,2.0
Andrzej Tomala,"07/07/2022, 13:44:06",1.0,4.0,2.0,2.0,2.0,3.0,1.0,5.0,2.0,5.0,2.0,3.0,2.0,3.0,5.0,4.0,3.0,5.0,98.0,21.0,13.0,99.0,96.0,73.0,60.0,18.0,40.0,0.0,3.0,1.0,-1.0,0.0,3.0,3.0,3.0,3.0
Andrzej Tomala,"07/07/2022, 13:44:06",4.0,5.0,5.0,4.0,1.0,3.0,5.0,2.0,3.0,5.0,3.0,1.0,1.0,3.0,5.0,1.0,2.0,1.0,45.0,28.0,74.0,91.0,58.0,64.0,3.0,26.0,9.0,2.0,3.0,2.0,3.0,-3.0,0.0,-1.0,-3.0,-1.0
Andrzej Tomala,"07/07/2022, 13:44:06",5.0,1.0,3.0,5.0,3.0,5.0,1.0,1.0,2.0,5.0,5.0,3.0,4.0,4.0,2.0,2.0,1.0,2.0,67.0,12.0,38.0,83.0,31.0,55.0,20.0,91.0,59.0,0.0,-3.0,1.0,1.0,-3.0,3.0,2.0,3.0,2.0
Andrzej Tomala,"07/07/2022, 13:44:06",1.0,2.0,4.0,5.0,1.0,1.0,3.0,1.0,5.0,5.0,2.0,5.0,4.0,3.0,1.0,2.0,5.0,4.0,49.0,74.0,17.0,37.0,89.0,20.0,65.0,50.0,9.0,3.0,0.0,1.0,-1.0,-1.0,3.0,3.0,-3.0,-1.0
Andrzej Tomala,"07/07/2022, 13:44:06",3.0,1.0,3.0,2.0,2.0,4.0,2.0,2.0,1.0,4.0,4.0,5.0,5.0,2.0,4.0,5.0,1.0,1.0,91.0,16.0,24.0,36.0,39.0,91.0,99.0,42.0,16.0,-2.0,3.0,2.0,-2.0,0.0,-3.0,-1.0,-3.0,2.0
Andrzej Tomala,"07/07/2022, 13:44:06",1.0,4.0,2.0,1.0,3.0,2.0,3.0,2.0,5.0,3.0,2.0,3.0,3.0,2.0,3.0,5.0,1.0,4.0,16.0,63.0,18.0,86.0,61.0,46.0,79.0,80.0,89.0,-2.0,-3.0,0.0,1.0,-2.0,3.0,2.0,-1.0,-3.0
Andrzej Tomala,"07/07/2022, 13:44:06",4.0,4.0,4.0,2.0,2.0,3.0,3.0,3.0,4.0,3.0,5.0,5.0,2.0,1.0,5.0,5.0,4.0,5.0,65.0,46.0,60.0,78.0,53.0,18.0,26.0,78.0,12.0,-2.0,2.0,0.0,-3.0,-1.0,-3.0,1.0,-3.0,3.0
Andrzej Tomala,"07/07/2022, 13:44:06",3.0,1.0,5.0,4.0,5.0,5.0,1.0,2.0,4.0,5.0,3.0,5.0,3.0,5.0,5.0,2.0,4.0,2.0,86.0,66.0,88.0,55.0,72.0,54.0,55.0,80.0,33.0,-1.0,1.0,-2.0,0.0,-1.0,1.0,1.0,-1.0,0.0
Andrzej Tomala,"07/07/2022, 13:44:06",2.0,4.0,3.0,5.0,1.0,1.0,5.0,5.0,1.0,2.0,5.0,2.0,1.0,4.0,4.0,5.0,4.0,2.0,24.0,83.0,93.0,67.0,42.0,45.0,78.0,59.0,68.0,1.0,1.0,0.0,-2.0,-1.0,-2.0,3.0,3.0,-2.0
Andrzej Tomala,"07/07/2022, 13:44:06",4.0,4.0,1.0,2.0,5.0,4.0,4.0,5.0,5.0,4.0,3.0,3.0,5.0,1.0,1.0,3.0,5.0,3.0,57.0,81.0,46.0,33.0,28.0,64.0,64.0,1.0,4.0,-1.0,1.0,1.0,2.0,-1.0,0.0,-3.0,2.0,-1.0
Andrzej Tomala,"07/07/2022, 13:44:06",1.0,4.0,1.0,2.0,4.0,3.0,5.0,4.0,2.0,2.0,1.0,4.0,3.0,4.0,5.0,1.0,2.0,3.0,40.0,57.0,98.0,8.0,71.0,95.0,21.0,15.0,13.0,-3.0,1.0,-1.0,2.0,-2.0,-1.0,-1.0,-1.0,-3.0
Andrzej Tomala,"07/07/2022, 13:44:06",3.0,2.0,1.0,4.0,2.0,2.0,4.0,5.0,3.0,5.0,5.0,5.0,1.0,4.0,3.0,3.0,1.0,5.0,52.0,75.0,36.0,10.0,37.0,6.0,83.0,45.0,26.0,-3.0,0.0,2.0,-1.0,0.0,0.0,-2.0,2.0,1.0
Andrzej Tomala,"07/07/2022, 13:44:06",1.0,1.0,4.0,1.0,3.0,2.0,5.0,2.0,4.0,2.0,3.0,1.0,1.0,2.0,5.0,5.0,4.0,1.0,52.0,1.0,69.0,49.0,75.0,15.0,50.0,97.0,36.0,1.0,3.0,1.0,-2.0,-2.0,-1.0,3.0,2.0,-3.0
Andrzej Tomala,"07/07/2022, 13:44:06",3.0,4.0,3.0,1.0,5.0,1.0,1.0,5.0,5.0,2.0,4.0,4.0,3.0,5.0,3.0,4.0,3.0,2.0,47.0,73.0,57.0,50.0,84.0,1.0,49.0,7.0,90.0,-1.0,3.0,-1.0,2.0,-1.0,-2.0,2.0,3.0,-1.0
Andrzej Tomala,"07/07/2022, 13:44:06",3.0,5.0,2.0,3.0,5.0,4.0,4.0,4.0,2.0,2.0,2.0,5.0,4.0,2.0,5.0,3.0,5.0,1.0,19.0,7.0,85.0,48.0,6.0,88.0,53.0,11.0,46.0,-2.0,-3.0,-1.0,-3.0,-2.0,0.0,-1.0,-1.0,-2.0
Andrzej Tomala,"07/07/2022, 13:44:06",5.0,1.0,4.0,4.0,3.0,1.0,3.0,4.0,2.0,5.0,5.0,2.0,1.0,4.0,1.0,3.0,4.0,4.0,41.0,33.0,16.0,25.0,88.0,25.0,3.0,49.0,65.0,-1.0,2.0,0.0,1.0,0.0,3.0,3.0,1.0,1.0
Andrzej Tomala,"07/07/2022, 13:44:06",4.0,2.0,2.0,2.0,2.0,3.0,2.0,1.0,2.0,3.0,5.0,5.0,4.0,5.0,2.0,3.0,2.0,5.0,85.0,28.0,89.0,74.0,67.0,73.0,77.0,83.0,49.0,3.0,1.0,1.0,-2.0,-1.0,1.0,1.0,-3.0,3.0
Andrzej Tomala,"07/07/2022, 13:44:06",1.0,4.0,4.0,1.0,2.0,3.0,4.0,4.0,5.0,4.0,3.0,4.0,1.0,5.0,4.0,4.0,4.0,1.0,53.0,23.0,27.0,6.0,61.0,61.0,81.0,21.0,10.0,1.0,-3.0,2.0,1.0,1.0,1.0,3.0,1.0,1.0
Andrzej Tomala,"07/07/2022, 13:44:06",3.0,5.0,3.0,5.0,2.0,2.0,4.0,3.0,3.0,1.0,5.0,5.0,3.0,2.0,2.0,2.0,4.0,2.0,36.0,25.0,52.0,53.0,27.0,49.0,1.0,68.0,39.0,-1.0,1.0,3.0,2.0,2.0,0.0,1.0,-3.0,2.0
Andrzej Tomala,"07/07/2022, 13:44:06",1.0,3.0,1.0,4.0,5.0,1.0,3.0,3.0,4.0,2.0,2.0,2.0,2.0,1.0,4.0,3.0,1.0,4.0,58.0,3.0,87.0,41.0,71.0,81.0,88.0,33.0,34.0,3.0,-1.0,3.0,-1.0,1.0,2.0,2.0,-1.0,3.0
Andrzej Tomala,"07/07/2022, 13:44:06",5.0,2.0,4.0,1.0,3.0,5.0,5.0,1.0,5.0,4.0,1.0,1.0,5.0,2.0,3.0,2.0,1.0,3.0,88.0,91.0,95.0,100.0,26.0,46.0,74.0,19.0,2.0,3.0,0.0,0.0,-3.0,0.0,-1.0,-2.0,0.0,0.0
Andrzej Tomala,"07/07/2022, 13:44:06",1.0,4.0,5.0,3.0,1.0,3.0,4.0,4.0,3.0,2.0,3.0,2.0,1.0,1.0,4.0,5.0,3.0,3.0,90.0,44.0,40.0,68.0,26.0,59.0,83.0,90.0,36.0,-3.0,-3.0,-3.0,3.0,1.0,-1.0,3.0,2.0,-3.0
Andrzej Tomala,"07/07/2022, 13:44:06",5.0,4.0,3.0,1.0,2.0,2.0,5.0,4.0,4.0,3.0,4.0,2.0,1.0,1.0,5.0,1.0,4.0,1.0,5.0,50.0,87.0,57.0,34.0,56.0,95.0,3.0,61.0,-1.0,0.0,-1.0,-1.0,-1.0,2.0,2.0,1.0,2.0
